Most Recent Health Inspection More Than 2 Years Ago,Overall Rating,Health Inspection Rating,Staffing Rating,RN Staffing Rating,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,performance_id
False,2.0,2.0,3.0,2.0,38.0,0,3,0,$0.00,0,0,296
False,1.0,1.0,3.0,4.0,64.5,0,2,1,$7900.00,0,1,297
False,3.0,4.0,4.0,5.0,26.0,0,1,0,$0.00,0,0,298
False,4.0,3.0,3.0,4.0,20.667,0,0,0,$0.00,0,0,299
False,4.0,3.0,2.0,3.0,22.0,0,0,0,$0.00,0,0,300
False,3.0,2.0,3.0,3.0,40.0,0,3,1,$12870.00,0,1,301
False,3.0,3.0,3.0,3.0,16.667,0,0,0,$0.00,0,0,302
False,5.0,5.0,1.0,2.0,2.0,0,0,0,$0.00,0,0,303
False,2.0,1.0,4.0,4.0,68.667,0,11,0,$0.00,0,0,304
False,4.0,2.0,4.0,4.0,37.333,0,4,0,$0.00,0,0,305
False,3.0,3.0,3.0,5.0,26.667,0,2,0,$0.00,0,0,306
False,3.0,3.0,2.0,2.0,75.333,3,0,1,$975.00,0,1,307
False,3.0,2.0,5.0,5.0,82.0,0,1,0,$0.00,1,1,308
False,3.0,4.0,,,18.667,0,0,0,$0.00,0,0,309
False,3.0,3.0,3.0,4.0,77.0,0,1,3,$10250.00,0,3,310
False,4.0,2.0,5.0,5.0,128.0,0,0,2,$17323.00,1,3,311
False,3.0,2.0,3.0,3.0,28.0,0,1,0,$0.00,0,0,312
False,4.0,4.0,4.0,4.0,10.667,0,0,0,$0.00,0,0,313
False,3.0,4.0,1.0,2.0,11.333,1,0,0,$0.00,0,0,314
False,3.0,2.0,3.0,3.0,26.667,0,0,0,$0.00,0,0,315
False,4.0,4.0,1.0,1.0,6.667,0,2,0,$0.00,0,0,316
False,1.0,1.0,3.0,2.0,82.667,3,16,0,$0.00,0,0,317
